ID,Code,Day,Month,Year,Addressed from (Actual) ,Reg. Place written,Reg. Place written city,Reg. Place written country,"Reg. Place written, second city",Autograph or Typed,PhysDes,initialed or signed,phys descr detail,PhysDes notes,leaves,sides,Envelope,Postmark (Actual),Addressed to (Actual),Reg. recipient,Reg place sent,Reg. PlaceSent City,Reg. PlaceSent Country,Additional,Repository,Public?,Collection,Repository information,Second Repository,SECOND PUBLIC?,OwnerRights,PrimaryLang,File,Sender,PlacePrevPubl,Verified
5525,SABE 12-04-59 MAHU,12,4,59,PARIS,,Paris,France,,,Telegram,,,,1,1,,"12/4/58, LONDON",MARY HUTCHINSON,MARY HUTCHINSON,LONDON,,,prev. 12-4-59],University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.4,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5526,SABE 12-07-66 MAHU,12,7,66,PARIS,,Paris,France,,A,L,I,,,1,1,E,"12-7-66, PARIS",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,Signed with Josette and Henry,University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.6,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5527,SABE 12-08-67 MAHU,12,8,67,PARIS,,Paris,France,,A,L,S,,,1,1,E,"12-8-67, PARIS",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,,University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.7,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5528,SABE 12-09-62 MAHU,12,9,62,PARIS,,Paris,France,,A,L,S,,,1,1,E,"13-9-62, PARIS",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,,University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.5,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5529,SABE 12-10-57 MAHU,12,10,57,PARIS,,Paris,France,,A,L,S,,,1,1,E,"18-10-57, PARIS",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,,University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.4,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5530,SABE 12-10-58 MAHU,12,10,58,PARIS,,Paris,France,,A,L,S,,,1,1,E,"12-11-58, PARIS",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,Rev. 7/03,University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.4,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5531,SABE 13-03-67 MAHU,13,3,67,,,,,,A,L,S,,,1,1,,,MARY HUTCHINSON,MARY HUTCHINSON,PARIS,,,,University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.7,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5532,SABE 13-04-67 MAHU,13,4,67,USSY SUR MARNE,,Ussy-sur-Marne,France,,A,L,S,,,1,1,E,"13-4-67, LA FERTÉ-SOUS-JOUARRE",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,,University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.7,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5533,SABE 13-06-57 MAHU,13,6,57,PARIS,,Paris,France,,A,L,S,,,1,1,E,"14-06-57, PARIS",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,,University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.4,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5534,SABE 13-07-72 MAHU,13,7,72,PARIS,,Paris,France,,A,C,S,,,1,1,E,"14-7-72, PARIS",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,,University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.8,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5535,SABE 13-11-59 MAHU,13,11,59,USSY SUR MARNE,,Ussy-sur-Marne,France,,A,L,S,,,1,1,E,"14-11-59, LA FERTÉ-SOUS-JOUARRE",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,,University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.4,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5536,SABE 14-02-57 MAHU [a],14,2,57,PARIS,,Paris,France,,A,L,S,,,1,1,E,"15-2-57, PARIS",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,,University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.4,,,Beckett,English,HUTCHINSON,Samuel Beckett,"The Letters of Samuel Beckett, Volume 3: 25-26.",
5537,SABE 14-02-57 MAHU [b],14,2,57,,,,,,,Telegram,,,,1,1,,"14-2-57, PARIS",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,,University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.4,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5538,SABE 14-04-77 MAHU,14,4,77,,,,,,,,,,,,,,,MARY HUTCHINSON,MARY HUTCHINSON,,,,ENV 27-8-[78] ENCLOSED,University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 3.1,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5539,SABE 16-06-70 MAHU,16,6,70,PARIS,,Paris,France,,A,C,S,,,1,2,E,"16-6-70, PARIS",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,verso pm 17-6-70,University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.8,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5540,SABE 14-08-73 MAHU,14,8,73,PARIS,,Paris,France,,A,PC,S,,,1,1,E,"14-8-73, PARIS",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,"""La Conciergerie, la Sainte-Chapelle et le Pont au Change""",University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 3.1,,,Beckett,English,HUTCHINSON,Samuel Beckett,,Y
5541,SABE 14-09-64 MAHU,14,9,64,PARIS,,Paris,France,,A,L,S,,,1,1,E,"15-09-54, PARIS",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,,University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.6,,,Beckett,English,HUTCHINSON,Samuel Beckett,"The Letters of Samuel Beckett, Volume 3: 627.",
5542,SABE 14-09-69 MAHU,14,9,69,BERLIN,,Berlin,Germany,,A,PC,S,,,1,1,E,"14-09-69, BERLIN",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2.,England",,,"""Der Fiederstaub"" (1882), Manet",University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.7,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5543,SABE 14-10-69 MAHU,14,10,69,"NABEUL, TUNISIA",,Nabeul,Tunisia,,A,PC,S,,,1,1,E,"14-10-69, NABEUL, TUNISIE",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,"""Sidi Bou Said Femme Voilée""",University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.7,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5544,SABE 15-02-69 MAHU,15,2,69,"CASCAIS, PORTUGAL",,Cascais,Portugal,,A,L,S,,,1,1,E,"15-2-69, CASCAIS",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Inglaterre",,,,University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.7,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5545,SABE 15-03-57 MAHU,15,3,57,PARIS,,Paris,France,,A,L,S,,,1,1,E,"16-3-57, PARIS",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,,University of Texas at Austin,public,HUTCHINSON,,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5546,SABE 15-04-57 MAHU,15,4,57,USSY SUR MARNE,,Ussy-sur-Marne,France,,A,L,S,,,1,1,E,"15-4-57, LA FERTÉ-SOUS-JOUARRE",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,,University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.4,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5547,SABE 15-04-75 MAHU,15,4,75,PARIS,,Paris,France,,A,C,S,,,1,1,E,"15-4-75, PARIS",MARY HUTCHINSON,MARY HUTCHINSON,21 HYDE PARK SQUARE/LONDON W2/ANGLETERRE,,,,University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 3.1,,,Beckett,English,HUTCHINSON,Samuel Beckett,,Y
5548,SABE 15-06-72 MAHU,15,6,72,PARIS,,Paris,France,,A,PC,S,,,1,1,,"15-6-72, PARIS",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,"""Atelier (Sommer)"" (1960) Sergio de Castro",University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.8,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5549,SABE 15-07-56 MAHU,15,7,56,"6 RUE DES FAVORITES, PARIS 15ME",6 Rue des Favorites,Paris,France,,T,L,S,,,1,1,E,"16-7-56, LA FERTÉ-SOUS-JOUARRE",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2.",,,TYPED ENV.,University of Texas at Austin,public,HUTCHINSON,,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5550,SABE 15-09-72 MAHU,15,9,72,MALTA,,,Malta,,A,PC,S,,,1,1,,"18-9-72, MALTA",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,"""Malta, The megalithic temple of Hagar Qim""",University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.8,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5551,SABE 15-09-75 MAHU,15,9,75,USSY SUR MARNE,,Ussy-sur-Marne,France,,A,C,S,,,1,2,E,"17-9-75, LA FERTÉ-SOUS-JOUARRE",MARY HUTCHINSON,MARY HUTCHINSON,21 HYDE PARK SQUARE/LONDON W2/ANGLETERRE,,,,University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 3.1,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5552,SABE 15-10-61 MAHU,15,10,61,PARIS,,Paris,France,,A,L,S,,,1,1,E,"17-10-61, PARIS",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,,University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.5,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5553,SABE 15-10-63 MAHU,15,10,63,PARIS,,Paris,France,,A,L,S,,,1,1,E,"16-10-63, PARIS",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,,University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.6,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5554,SABE 15-11-69 MAHU,15,11,69,"NABEUL, TUNISIA",,Nabeul,Tunisia,,A,C,S,,,1,2,E,"17-11-69, NABEUL",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,,University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.7,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5555,SABE 16-01-69 MAHU,16,1,69,"PORTO SANTO, MADEIRA, PORTUGAL",Porto Santo,Madeira,Portugal,,A,PC,S,,,1,1,,"17-1-69, PORTO SANTO",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Ingleterra",,,"""Campo de Baixo (Porto Santo) - via aerea""",University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.7,,,Beckett,English,HUTCHINSON,Samuel Beckett,,Y
5556,SABE 16-03-71 MAHU,16,3,71,PARIS,,Paris,France,,A,C,S,,,1,2,E,,MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,enclosure not extant,University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.8,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5557,SABE 16-06-73 MAHU,16,6,73,PARIS,,Paris,France,,A,C,S,,,1,1,E,"16-6-73, PARIS",MARY HUTCHINSON,MARY HUTCHINSON,"c/o Rothschild, Ranona, Aghiostephanos, Sinies, Corfu, Grèc",,,"Upper left ""Avion""",University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 3.1,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5558,SABE 16-07-76 MAHU,16,7,76,USSY SUR MARNE,,Ussy-sur-Marne,France,,A,C,S,,,1,1,E,"16-7-76, LA FERTÉ-SOUS-JOUARRE",MARY HUTCHINSON,MARY HUTCHINSON,"2A Nugent Terrace, Abercom Place, London N.W.8, Angleterre",,,,University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 3.1,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5559,SABE 16-08-62 MAHU,16,8,62,"KITZBÜHEL-HANNEKAMM, AUSTRIA",,Kitzbühel-Hannekamm,Austria,,A,L,S,,,1,1,E,"17-8-62, KITZBÜHEL",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,,University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.5,,,Beckett,English,HUTCHINSON,Samuel Beckett,,Y
5560,SABE 16-10-67 MAHU,16,10,67,ALGHERO SARDINIA,Hotel Las Tronas,"Alghero, Sardinia",Italy,,A,PC,S,,,1,1,,"16-10-67, ALGHERO",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,"""Tower and Terra Gate Square""",University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.7,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5561,SABE 17-01-57 MAHU,17,1,57,"6 RUE DES FAVORITES, PARIS 15ME",6 Rue des Favorites,Paris,France,,T,L,S,,,1,1,E,"17-1-57, PARIS",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,TYPED ENV.,University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.4,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5562,SABE 17-01-70 MAHU,17,1,70,CASCAIS,,Cascais,Portugal,,A,PC,S,,,1,1,,"19-1-70, CASCAIS",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,"""Cascais - Boca do Inferno Pombeira alta"" AVIAO",University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.8,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5563,SABE 17-02-72 MAHU,17,2,72,TAROUDANT,,Taroudant,Morocco,,A,PC,S,,,1,1,,18-2-72,MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,"""The Taroudant Doors""",University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.8,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5564,SABE 18-03-68 MAHU,18,3,68,PARIS,,Paris,France,,A,C,S,,,1,2,E,"18-3-68, PARIS",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,,University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.7,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5565,SABE 18-03-69 MAHU,18,3,69,USSY SUR MARNE,,Ussy-sur-Marne,France,,A,C,S,,,1,2,E,"18-3-69, LA FERTÉ-SOUS-JOURRE",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,,University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.7,,,Beckett,English,HUTCHINSON,Samuel Beckett,,Y
5566,SABE 18-03-75 MAHU,18,3,75,PARIS,,Paris,France,,A,C,S,,,1,1,E,"19-3-75, PARIS",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,,University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 3.1,,,Beckett,English,HUTCHINSON,Samuel Beckett,,Y
5567,SABE 18-05-70 MAHU,18,5,70,ALGHERO SARDINIA,,"Alghero, Sardinia",Italy,,A,PC,S,,,1,1,E,"2__5-70, ALGHERO",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,"""Osilo, Malaspina Castle""",University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.8,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5569,SABE 18-07-67 MAHU,18,7,67,PARIS,,Paris,France,,A,C,S,,,1,2,E,"19-7-67, PARIS",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,,University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.7,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5570,SABE 18-09-57 MAHU,18,9,57,"6 RUE DES FAVORITES, PARIS 15ME",6 Rue des Favorites,Paris,France,,A,L,S,,,1,1,E,"18-09-57, PARIS",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,,University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.4,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5571,SABE 18-10-70 MAHU,18,10,70,PARIS,,Paris,France,,A,L,S,,,1,1,E,"19-10-70, PARIS",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,,University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.8,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5572,SABE 19-02-76 MAHU,19,2,76,PARIS,,Paris,France,,A,C,S,,,1,2,E,"20-2-76, PARIS",MARY HUTCHINSON,MARY HUTCHINSON,"2A Nugent Terrace, Abercom Place, London N.W.8, Angleterre",,,,University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 3.1,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5573,SABE 19-09-71 MAHU,19,9,71,BERLIN,,Berlin,Germany,,A,PC,S,,,1,1,E,"20-9-71, BERLIN",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., England",,,"""Sommer, 1874"", Monet",University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.8,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5575,SABE 19-11-66 MAHU,19,11,66,USSY SUR MARNE,,Ussy-sur-Marne,France,,A,C,S,,,1,2,E,"19-11-66, LA FERTÉ-SOUS-JOUARRE",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,,University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.6,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5576,SABE 20-01-71 MAHU,20,1,71,PARIS,,Paris,France,,A,C,S,,,1,1,E,"20-1-71, PARIS",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,,University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.8,,,Beckett,English,HUTCHINSON,Samuel Beckett,,Y
5577,SABE 20-02-58 MAHU,20,2,58,USSY SUR MARNE,,Ussy-sur-Marne,France,,T,L,S,,,1,2,E,"21-02-58, LA FERTÉ-SPIS-JOUARRE",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,"TYPED ENV.; Enc. Brooks Atkinson, ""About the Drama: Samuel Beckett's 'Endgame' is Staged with Ingenuity at the Cherry Lane""",University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.4,,,Beckett,English,HUTCHINSON,Samuel Beckett,,Y
5578,SABE 20-06-63 MAHU,20,6,63,BERGHOTEL/ZELL AM SEE/AUSTRIA,Berghotel,Zell-am-See,Austria,,A,L,S,,,1,1,E,"24-6-63, ZELL AM SEE",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,,University of Texas at Austin,public,HUTCHINSON,"TxU, HUTCHINSON 2.6",,,Beckett,English,HUTCHINSON,Samuel Beckett,,Y
5579,SABE 20-09-67 MAHU,20,9,67,BERLIN,,Berlin,Germany,,A,PC,S,,,1,1,,"21-9-62, BERLIN",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,"""Berlin: Schloss Charlottenburg""",University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.5,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5580,SABE 20-11-72 MAHU,20,11,72,PARIS,,Paris,France,,A,C,S,,,1,1,E,"20-11-72, PARIS",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,,University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.8,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5581,SABE 20-12-63 MAHU,20,12,63,USSY SUR MARNE,,Ussy-sur-Marne,France,,A,L,S,,,1,1,E,"20-12-63, LA FERTÉ-SOUS-JOUARRE",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,Rev. 7/03,University of Texas at Austin,public,HUTCHINSON,"TxU, HUTCHINSON 2.6",,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5582,SABE 20-12-66 MAHU,20,12,66,PARIS,,Paris,France,,A,C,S,,,1,1,E,"20-12-66, PARIS",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,,University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.6,,,Beckett,English,HUTCHINSON,Samuel Beckett,,Y
5583,SABE 21-01-58 MAHU,21,1,58,USSY SUR MARNE,,Ussy-sur-Marne,France,,A,L,S,,,1,1,E,"23-1-58, LA FERTÉ-SOUS-JOUARRE",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,,University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.4,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5584,SABE 21-01-65 MAHU,21,1,65,USSY SUR MARNE,,Ussy-sur-Marne,France,,A,L,S,,,1,1,E,"23-1-65, LA FERTÉ-SOUS-JOUARRE",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,,University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.6,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5585,SABE 21-03-63 MAHU,21,3,63,PARIS,,Paris,France,,A,L,S,,,1,1,E,"22-3-63, PARIS",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,,University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.6,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5586,SABE 26-03-73 MAHU,26,3,73,"EL JADIDA, MOROCCO",,El Jadida,Morocco,,A,PC,S,,,1,1,E,"26-3-73, EL JADIDA",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,"""El Jadida, Portuguese City""",University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 3.1,,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5587,SABE 21-04-63 MAHU,21,4,63,USSY SUR MARNE,,Ussy-sur-Marne,France,,A,L,S,,,1,1,E,"22-4-63, LA FERTÉ-SOUS-JOUARRE",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,,University of Texas at Austin,public,HUTCHINSON,"TxU, HUTCHINSON 2.6",,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5588,SABE 21-08-63 MAHU,21,8,63,PARIS,,Paris,France,,A,C,S,,,1,1,E,"22-8-63, PARIS",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,,University of Texas at Austin,public,HUTCHINSON,"TxU, HUTCHINSON 2.6",,,Beckett,English,HUTCHINSON,Samuel Beckett,,
5589,SABE 21-09-59 MAHU,21,9,59,USSY SUR MARNE,,Ussy-sur-Marne,France,,A,L,S,,,1,1,E,"22-9-59, LA FERTÉ-SOUS-JOUARRE",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,,University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.4,,,Beckett,English,HUTCHINSON,Samuel Beckett,"The Letters of Samuel Beckett, Volume 3: 242-243.",Y
5590,SABE 21-10-66 MAHU,21,10,66,RHODES,,Rhodes,Greece,,A,PC,S,,,1,1,,"22-10-66, [RHODES]",MARY HUTCHINSON,MARY HUTCHINSON,"21 Hyde Park Square, London W.2., Angleterre",,,"""Rhodes - Trireme of Lindon""",University of Texas at Austin,public,HUTCHINSON,TxU- UNIVERSITY OF TEXAS- HUTCHINSON 2.6,,,Beckett,English,HUTCHINSON,Samuel Beckett,,Y
